Fecha,Tweet,Número
2020-07-02T05:19:44Z,FelizJueves,
2020-07-02T06:19:45Z,FelizJueves,
2020-07-02T07:19:48Z,FelizJueves,
2020-07-02T08:19:49Z,FelizJueves,
2020-07-02T09:19:50Z,FelizJueves,
2020-07-02T10:19:52Z,FelizJueves,
2020-07-02T11:19:54Z,FelizJueves,
2020-07-02T12:19:59Z,FelizJueves,12066
2020-07-02T13:25:01Z,FelizJueves,16031
2020-07-02T14:25:03Z,FelizJueves,20744
2020-07-02T15:25:04Z,FelizJueves,25005
2020-07-03T02:35:20Z,FelizJueves,46990
2020-07-09T03:58:16Z,FelizJueves,
2020-07-09T04:58:15Z,FelizJueves,
2020-07-09T06:03:16Z,FelizJueves,
2020-07-09T06:58:15Z,FelizJueves,
2020-07-09T08:03:15Z,FelizJueves,
2020-07-09T09:03:18Z,FelizJueves,
2020-07-09T10:03:20Z,FelizJueves,
2020-07-09T11:03:23Z,FelizJueves,10056
2020-07-09T12:03:26Z,FelizJueves,12341
2020-07-09T13:08:29Z,FelizJueves,15868
2020-07-09T14:08:30Z,FelizJueves,19806
2020-07-09T15:08:38Z,FelizJueves,23467
2020-07-09T16:08:33Z,FelizJueves,27085
2020-07-10T02:23:24Z,FelizJueves,46253
2020-07-10T03:21:37Z,FelizJueves,47018
2020-07-10T04:21:35Z,FelizJueves,47542
2020-07-10T05:26:33Z,FelizJueves,47396
2020-07-10T06:26:33Z,FelizJueves,46479
2020-07-10T07:26:32Z,FelizJueves,44694
2020-07-16T04:47:30Z,FelizJueves,
2020-07-16T05:47:29Z,FelizJueves,
2020-07-16T06:47:32Z,FelizJueves,
2020-07-16T07:42:33Z,FelizJueves,
2020-07-16T08:47:33Z,FelizJueves,
2020-07-16T09:47:34Z,FelizJueves,
2020-07-16T10:52:36Z,FelizJueves,
2020-07-16T11:52:49Z,FelizJueves,
2020-07-16T12:52:53Z,FelizJueves,12640
2020-07-16T13:52:57Z,FelizJueves,15982
2020-07-16T14:57:59Z,FelizJueves,19755
2020-07-17T04:07:47Z,FelizJueves,40911
2020-07-17T05:07:46Z,FelizJueves,40644
2020-07-23T04:29:50Z,FelizJueves,
2020-07-23T05:29:48Z,FelizJueves,
2020-07-23T06:34:57Z,FelizJueves,
2020-07-23T07:34:58Z,FelizJueves,
2020-07-23T08:34:58Z,FelizJueves,
2020-07-23T10:35:01Z,FelizJueves,
2020-07-23T11:35:03Z,FelizJueves,
2020-07-23T12:35:06Z,FelizJueves,12544
2020-07-23T13:40:07Z,FelizJueves,16351
2020-07-23T14:40:09Z,FelizJueves,20305
2020-07-23T15:40:10Z,FelizJueves,24108
2020-07-02T05:19:44Z,FelizJueves,
2020-07-02T06:19:45Z,FelizJueves,
2020-07-02T07:19:48Z,FelizJueves,
2020-07-02T08:19:49Z,FelizJueves,
2020-07-02T09:19:50Z,FelizJueves,
2020-07-02T10:19:52Z,FelizJueves,
2020-07-02T11:19:54Z,FelizJueves,
2020-07-02T12:19:59Z,FelizJueves,12066
2020-07-02T13:25:01Z,FelizJueves,16031
2020-07-02T14:25:03Z,FelizJueves,20744
2020-07-02T15:25:04Z,FelizJueves,25005
2020-07-03T02:35:20Z,FelizJueves,46990
2020-07-09T03:58:16Z,FelizJueves,
2020-07-09T04:58:15Z,FelizJueves,
2020-07-09T06:03:16Z,FelizJueves,
2020-07-09T06:58:15Z,FelizJueves,
2020-07-09T08:03:15Z,FelizJueves,
2020-07-09T09:03:18Z,FelizJueves,
2020-07-09T10:03:20Z,FelizJueves,
2020-07-09T11:03:23Z,FelizJueves,10056
2020-07-09T12:03:26Z,FelizJueves,12341
2020-07-09T13:08:29Z,FelizJueves,15868
2020-07-09T14:08:30Z,FelizJueves,19806
2020-07-09T15:08:38Z,FelizJueves,23467
2020-07-09T16:08:33Z,FelizJueves,27085
2020-07-10T02:23:24Z,FelizJueves,46253
2020-07-10T03:21:37Z,FelizJueves,47018
2020-07-10T04:21:35Z,FelizJueves,47542
2020-07-10T05:26:33Z,FelizJueves,47396
2020-07-10T06:26:33Z,FelizJueves,46479
2020-07-10T07:26:32Z,FelizJueves,44694
2020-07-16T04:47:30Z,FelizJueves,
2020-07-16T05:47:29Z,FelizJueves,
2020-07-16T06:47:32Z,FelizJueves,
2020-07-16T07:42:33Z,FelizJueves,
2020-07-16T08:47:33Z,FelizJueves,
2020-07-16T09:47:34Z,FelizJueves,
2020-07-16T10:52:36Z,FelizJueves,
2020-07-16T11:52:49Z,FelizJueves,
2020-07-16T12:52:53Z,FelizJueves,12640
2020-07-16T13:52:57Z,FelizJueves,15982
2020-07-16T14:57:59Z,FelizJueves,19755
2020-07-17T04:07:47Z,FelizJueves,40911
2020-07-17T05:07:46Z,FelizJueves,40644
2020-07-23T04:29:50Z,FelizJueves,
2020-07-23T05:29:48Z,FelizJueves,
2020-07-23T06:34:57Z,FelizJueves,
2020-07-23T07:34:58Z,FelizJueves,
2020-07-23T08:34:58Z,FelizJueves,
2020-07-23T10:35:01Z,FelizJueves,
2020-07-23T11:35:03Z,FelizJueves,
2020-07-23T12:35:06Z,FelizJueves,12544
2020-07-23T13:40:07Z,FelizJueves,16351
2020-07-23T14:40:09Z,FelizJueves,20305
2020-07-23T15:40:10Z,FelizJueves,24108
